Date,Open,Close,Volume
03-04-2017,122.650002,123.5,2446127
05-04-2017,123.5,123.900002,2524567
06-04-2017,123.900002,123.199997,4473555
07-04-2017,122.800003,120.800003,3097966
10-04-2017,121,122.25,2327505
11-04-2017,122.150002,125.099998,4306819
12-04-2017,126,124.150002,3301264
13-04-2017,124,121.550003,1908830
17-04-2017,121.25,123.150002,1713947
18-04-2017,123.849998,123.849998,10446975
19-04-2017,123.849998,125.650002,3938980
20-04-2017,126,127.199997,3017663
21-04-2017,127.699997,126.449997,2797195
24-04-2017,127.949997,128.25,3439490
25-04-2017,129.25,128.600006,2536876
26-04-2017,128.949997,127.449997,2998582
27-04-2017,126.949997,127.550003,2787268
28-04-2017,127.550003,127.599998,1604152
02-05-2017,128.399994,134.050003,7909208
03-05-2017,134.75,134.149994,4072391
04-05-2017,134.300003,135.850006,5167972
05-05-2017,138.050003,133.449997,11930678
08-05-2017,134.699997,135.949997,2945334
09-05-2017,136.25,134.300003,2045478
10-05-2017,135,134.600006,2304765
11-05-2017,135,133.5,1645593
12-05-2017,133.449997,131.25,2060670
15-05-2017,131.399994,133.449997,2194489
16-05-2017,133.899994,134.550003,1729885
17-05-2017,134.699997,132.800003,1194422
18-05-2017,131.800003,129,2495524
19-05-2017,129.899994,126.800003,2562742
22-05-2017,128.5,123.75,2191466
23-05-2017,124.199997,126.699997,7408213
24-05-2017,127.699997,124.599998,3449291
25-05-2017,125.75,128.699997,3060700
26-05-2017,128.949997,130.850006,2544985
29-05-2017,131.449997,127.300003,2611406
30-05-2017,127.099998,126.599998,2490472
31-05-2017,127.25,128.449997,2236298
01-06-2017,128.100006,127.400002,2172449
02-06-2017,127.900002,128.300003,2896614
05-06-2017,129.25,132.149994,4086184
06-06-2017,132.899994,130.399994,4694445
07-06-2017,130.550003,132.25,2668221
08-06-2017,132.449997,131,2286960
09-06-2017,131,133.800003,3221042
12-06-2017,132.800003,131.199997,2178790
13-06-2017,131.449997,132.800003,2647552
14-06-2017,132.800003,137.25,4657035
15-06-2017,138.050003,141.199997,9291358
16-06-2017,142.600006,146.850006,10809330
19-06-2017,148,147.399994,4345985
20-06-2017,147.399994,147.100006,3700454
21-06-2017,146.5,146.350006,2745318
22-06-2017,146.449997,145.25,4815799
23-06-2017,145,140.399994,4935150
27-06-2017,140.399994,136.550003,2697836
28-06-2017,136.100006,141.149994,4897216
29-06-2017,142.550003,143.25,5964611
30-06-2017,142.899994,144.300003,4375409
03-07-2017,144,144.300003,1799305
04-07-2017,144.5,148.449997,4660061
05-07-2017,149.100006,149.100006,4201713
06-07-2017,149.100006,149.300003,3808467
07-07-2017,148.949997,148.199997,1879585
10-07-2017,150,149.5,429032
11-07-2017,149.199997,148.100006,2120731
12-07-2017,148.25,149.399994,2099586
13-07-2017,150,151.399994,4738129
14-07-2017,151.399994,149.600006,2290401
17-07-2017,150.300003,149.050003,3302023
18-07-2017,150.100006,147.949997,5294359
19-07-2017,148.399994,150.300003,2686754
20-07-2017,152.100006,152.800003,6726335
21-07-2017,153.899994,152.899994,2519835
24-07-2017,153.75,154,1861211
25-07-2017,154.5,155.399994,3858633
26-07-2017,155.5,161.149994,13060903
27-07-2017,167,161.199997,15970055
28-07-2017,160.949997,170.399994,14165613
31-07-2017,168.399994,175,11666200
01-08-2017,175,173.449997,3314173
02-08-2017,174.350006,175.350006,4722032
03-08-2017,175,170.899994,3990422
04-08-2017,169.75,174,3474367
07-08-2017,175.649994,176.399994,3878232
08-08-2017,176.949997,175.399994,6120329
09-08-2017,174.350006,172.149994,4403356
10-08-2017,171,165.149994,6599252
11-08-2017,162,163.800003,7107628
14-08-2017,167,172.199997,4510781
16-08-2017,174,176.5,5370263
17-08-2017,177,175.699997,3368022
18-08-2017,174.75,175.800003,3489414
21-08-2017,177,171.899994,3005800
22-08-2017,172.600006,169.449997,3806438
23-08-2017,170.550003,173.350006,3368752
24-08-2017,173.899994,174.850006,2899498
28-08-2017,175.899994,188.050003,14135663
29-08-2017,188.449997,189.649994,20263224
30-08-2017,192,197.100006,16613568
31-08-2017,198,200.300003,12794851
01-09-2017,200.5,198.649994,6994476
04-09-2017,198.100006,195.399994,6255206
05-09-2017,196,204.800003,11261174
06-09-2017,205,206.100006,12250251
07-09-2017,207.350006,206.449997,6157573
08-09-2017,207.5,202.399994,6350844
